DATE,SYMBOL,MEAN_PRICE,MIN_PRICE,MAX_PRICE
2022-04-29,stETH,2867.253069042,2781.116930301,2932.410607274
2022-01-19,WETH,3117.892685179,3058.600533514,3170.245064717
2022-04-11,WETH,3087.972285925,2984.939390511,3202.768190433
2022-05-05,stETH,2853.960210448,2710.169625047,2946.335384615
2022-06-08,stETH,1717.664701657,1708.039628117,1760.9856
2022-04-21,stETH,3080.457487442,2970.585179902,3151.245326591
2022-06-03,stETH,1749.302297186,1709.438045188,1792.82
2022-05-11,stETH,2264.535374435,2054.488571429,2408.976446145
2022-04-17,stETH,3042.30001942,3015.099796886,3066.098955108
2022-05-06,stETH,2706.47878337,2669.219230769,2762.567662238
2022-02-01,WETH,2753.791724129,2689.19205433,2789.10063089
2022-02-08,WETH,3110.890551424,3047.928675298,3198.946130934
2022-02-09,WETH,3156.067809175,3076.941839674,3253.299221916
2022-02-25,WETH,2662.251615435,2591.505872222,2788.238159297
2022-03-11,WETH,2582.637787764,2540.553292902,2654.212334537
2022-06-09,stETH,1749.313256319,1732.517662291,1774.396086957
2022-05-02,WETH,2834.38870006,2793.929499827,2869.938158327
2022-03-15,WETH,2571.463262662,2522.932939914,2642.608191607
2022-05-14,stETH,1970.212204289,1915.317288912,2011.481923077
2022-04-04,stETH,3474.603168325,3423.255623028,3517.968838508
2022-03-06,stETH,2628.687493545,2576.171521885,2663.701834243
2022-05-22,stETH,1951.184430475,1915.887077246,1989.30155315
2022-06-07,stETH,1715.290061524,1700.856785714,1777.706923077
2022-05-27,stETH,1718.575137726,1679.15845212,1764.980833333
2022-01-12,stETH,3287.076219821,3212.825559475,3376.456148038
2022-04-15,stETH,3021.069622605,3000.317383652,3037.455786181
2022-03-31,WETH,3364.60920956,3282.606772272,3420.671882108
2022-02-14,stETH,2889.359272634,2847.607333271,2945.794470874
2022-03-16,WETH,2682.305024795,2619.503057198,2769.512766426
2022-05-02,stETH,2830.675423254,2795.176666667,2858.472685298
2022-02-10,WETH,3187.375250165,3096.025615225,3254.330922801
2022-04-05,stETH,3483.364385372,3428.167350591,3525.406216757
2022-01-22,WETH,2449.876707748,2294.985845271,2592.874371203
2022-02-24,WETH,2461.752419493,2335.7728088,2654.525887702
2022-06-09,WETH,1798.625507263,1786.762130641,1821.452569715
2022-02-06,WETH,3009.016530859,2980.631900023,3030.632941836
2022-03-30,WETH,3388.641866503,3357.252418257,3427.117269413
2022-01-28,stETH,2435.610457784,2378.15532345,2535.077746301
2022-05-12,WETH,1951.336564516,1806.167827136,2134.871970278
2022-03-19,stETH,2942.144125655,2914.225963879,2961.933450212
2022-03-20,stETH,2891.84362131,2830.67851662,2944.340923144
2022-04-24,WETH,2943.668231072,2931.143980454,2956.42118276
2022-01-24,WETH,2346.917053841,2161.919036353,2494.418353816
2022-01-21,WETH,2808.760421074,2520.947670315,3003.611705237
2022-04-14,WETH,3070.790308053,2991.801825928,3136.013777377
2022-04-12,WETH,3012.547597368,2967.319435926,3069.284604254
2022-01-02,stETH,3749.161688239,3715.161282301,3802.352136335
2022-04-22,stETH,2979.409331413,2946.617861214,3007.527810064
2022-04-25,WETH,2891.74325556,2810.482288586,3011.055255826
2022-02-13,WETH,2911.642182079,2854.906590091,2940.716148594
2022-05-08,WETH,2554.617995269,2517.653494746,2637.185142827
2022-04-18,stETH,2954.412375557,2897.173333746,3051.717051708
2022-04-06,stETH,3286.984548469,3187.895445586,3361.038024767
2022-04-20,WETH,3092.157776589,3059.367613107,3149.2112008
2022-03-24,stETH,3054.356844942,3009.402070994,3102.429724366
2022-02-11,WETH,3052.712247493,2912.041103661,3117.798664093
2022-02-04,stETH,2825.742717629,2669.165847349,2955.415148882
2022-05-09,stETH,2381.878658661,2251.723411157,2513.463478261
2022-05-29,WETH,1793.299453789,1768.827136963,1815.510442459
2022-03-12,stETH,2580.538853103,2562.267849455,2594.23591803
2022-01-14,WETH,3271.165989689,3211.068963822,3326.996467053
2022-04-23,WETH,2958.128314036,2940.954948071,2969.092550634
2022-04-05,WETH,3491.355752063,3433.84615868,3529.175084704
2022-04-26,WETH,2940.181365911,2803.685407019,3014.855048955
2022-06-04,WETH,1772.941461603,1754.651713635,1803.379299296
2022-05-10,WETH,2359.153613555,2237.700542718,2432.096737375
2022-01-17,WETH,3256.886729139,3176.407562601,3347.713497596
2022-02-02,WETH,2736.968519387,2658.67293761,2792.559541165
2022-01-13,WETH,3325.28906973,3253.616495936,3378.10384332
2022-05-23,stETH,1995.591557118,1935.264615385,2035.502857143
2022-03-03,WETH,2881.334271143,2804.801444209,2955.683555805
2022-01-24,stETH,2363.270206613,2195.067693856,2507.928755581
2022-04-19,WETH,3071.757119811,3039.457098487,3116.357435988
2022-01-22,stETH,2465.044388943,2342.707805684,2595.402896984
2022-01-14,stETH,3266.542534363,3209.318330203,3319.20315151
2022-01-25,WETH,2406.952953234,2354.325043485,2475.307385744
2022-01-05,stETH,3751.986225594,3508.031846721,3819.045547652
2022-04-20,stETH,3082.614539814,3056.680120475,3144.598001938
2022-02-07,WETH,3097.94122334,3012.313464494,3172.96943475
2022-04-26,stETH,2936.925910916,2803.036363636,3012.016
2022-01-02,WETH,3768.668374735,3734.152418801,3828.465398159
2022-06-08,WETH,1761.800478806,1752.160490927,1804.262073983
2022-01-17,stETH,3253.90476053,3172.957150658,3340.483194716
2022-01-11,WETH,3149.887434663,3068.706770511,3240.854626104
2022-01-08,WETH,3168.745207178,3029.670611176,3233.497173873
2022-03-26,stETH,3114.123274406,3096.866348979,3135.00298572
2022-01-10,WETH,3099.582347657,2998.195591288,3172.352559334
2022-05-19,WETH,1969.653658061,1919.126524126,2021.306598463
2022-05-21,WETH,1970.635437445,1952.780908496,1982.336394289
2022-06-04,stETH,1734.39403934,1716.163880799,1762.315491154
2022-03-22,stETH,2988.686128352,2888.204056632,3018.754352227
2022-02-06,stETH,3000.83558316,2971.63524042,3022.878808717
2022-05-12,stETH,1919.657143554,1814.055278904,2120.683846154
2022-05-13,stETH,2018.899412467,1933.33,2085.881153846
2022-02-20,WETH,2656.874723126,2601.207198939,2749.929375825
2022-02-22,WETH,2578.969326632,2513.810680506,2642.1586358
2022-04-30,WETH,2813.675122756,2743.448427869,2837.058016305
2022-03-01,WETH,2935.665691183,2888.362314888,3010.268336912
2022-03-09,WETH,2709.347055645,2577.468769624,2758.549195747
2022-04-30,stETH,2808.221259574,2744.953461538,2831.3428
2022-01-30,WETH,2597.903270811,2562.980466098,2622.752041573
2022-05-11,WETH,2279.696449085,2051.968031332,2428.399498552
2022-05-07,stETH,2671.007022151,2615.524824634,2690.2452
2022-01-03,WETH,3790.319137505,3709.243831995,3835.301232266
2022-02-08,stETH,3106.673314191,3045.027430693,3195.839506866
2022-05-03,WETH,2823.980384864,2769.301714541,2851.27051715
2022-05-31,stETH,1927.442399971,1898.198751594,1954.855769231
