DATE,TX_ID,AMOUNT_IN,AMOUNT_OUT,GAIN_OR_LOSS,LOSING_TRADE_COUNTS,TRADE,IN_TOKEN,OUT_TOKEN,POOL_NAME,PLATFORM,ROUTER
2022-06-13,0x267f8199804b2b9ae0d2eaae7266f8349755df4dac91c43b86e8b593816b0503,13.221568401,12.18147398,-1.040094421,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x309c60fb25fb0169ec5346c866a2aab5c56f13278fffb0adb41d7e0b5664bd7a,2.555670052,2.456218504,-0.09945154744,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0xeebb42b6226326c9b4e42ac613c3f96b8c73f4983e89bb80e46f0856be98815d,1.450206227,1.391124627,-0.05908160003,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0x5eee2aeb5ad6eee7d60bd8b5eec38616cb671b81cf1fede9350e853e9b655425,4.974555318,4.75812178,-0.2164335379,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-07,0x0f2f25f844c3b7ac17c7ed62afaf9f9ce55f1d74bce015d88d264ff4b227bff5,1485.361417489,1456,-29.361417489,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0xa01ed4ea858a00cbf1d904219196127332a9649044576ab2f260891064ac0344,2375.247384923,2250,-125.247384923,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0x5bb611057ef02c9166688c99ca224a0d6ffb0f942d64b77e1462fb7208b977bb,3.221470672,3.1,-0.1214706717,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0x9de9c27b5ceb2aed189005419315c04595e5282bb06f8297d1eefb2a6528f74b,10.485487525,10,-0.4854875255,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0xd03ba9b6ed3ecfc66bf0a89428cc673a9a4b0c0bc7e9cfbc9e0654f5a8ffa717,4.700265347,4.45790087,-0.2423644772,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0x436bfe0ba046497923111826a49a29a5d1fe6113fb27cc9be75c4a6951269395,4731.841301883,4500,-231.841301883,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x575e4acde3954b8f9fd523a119b53b0e42f6d518f3e39089e68c095bb8808539,21.491923054,20.701562979,-0.7903600753,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-07,0xb5c2769538dd0567377a91d307dec0f80ad28e88a4537cf27eeaa91d2fa7065b,3.110368432,3.04478451,-0.06558392155,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0xcfc2f5bbdd073bf545af8ce5e5d9534fb86f1f904a2de17266a51107bb3f69f6,5.676845602,5.388620531,-0.2882250714,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0x4a7e128964642ab4b312353a7bf4d932fc3fd4cda9f90dbac7ae5757b2aa5f11,6.212344813,5.856914555,-0.3554302577,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0x4fd11701870f5220b666017b7189dbd8c9d833b87cb47eccf5dd4d319ce8a67c,4,3.796916062,-0.203083938,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0xb458884d51d9608e28d222871ffe39025e436a0f4dc832ae2c234eca8ba382a4,1.940573979,1.818959812,-0.1216141674,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-07,0xc3f96690811f5290818a6b31b91ccf23ae9d2959f9d3fb5f3be5655255f4d8ea,1.006154579,0.97946024,-0.02669433931,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x5a86f6798ba8dd27b4c9991adef4b5e56599eb06e116b901f16b501adfb44ae7,10,9.526150559,-0.4738494414,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0xb2182ecaa4fe11f922e1b7b193f4b08d455f36629b55eacaec41c14e52a0efe7,1.05297196,1,-0.05297196026,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-08,0xd3fc9bf199d6fab0b68c0bd591dbe82d902ab8b59fd3ecddfc1d2be31cb867af,0.03001649993,0.02909654469,-0.0009199552402,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-09,0x07a612e4f25a99bdfa2c7b6e9ce3cf21bd5dabb37a57da2b523d039a85fac3c1,0.5014983699,0.4867308365,-0.01476753341,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-08,0x0a66c2cc77930f954abf3b472c3217b17c87481bbb21a46350ca946ab2c4380e,18.675491305,17.823446043,-0.8520452629,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x9586cbcfb1faf96577b09c5649e1fbaf2d829571d36556d8daf1cb6b9d29f39f,36.650837576,35,-1.650837576,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-08,0xe7a6c0f5a934e7b18ecbc075c0e009438c5b1afbc8473b241044a77053e4030b,90.790406935,88.286764194,-2.503642741,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x0030a3d56c8c847bb7135eb23c1106017ab41e70e5b865ce8b85bfe7a5dc22e5,0.03438454645,0.03314176865,-0.001242777805,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-10,0x4414f37860ec295b6ac6559dc808e05173dd573ad05b677dd15f2f247aa62f82,220.404773805,210,-10.404773805,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0xab5e83f49c65df6789784ea25df5a1149b203315010de6aed15e651dd5d6f4de,3.532772099,3.40343166,-0.1293404382,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-09,0xa5296d341fc4e30b8142053af33a9e9f3a5fc53fa758b45867297847612054dc,5.008917843,4.887434,-0.1214838434,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-07,0x556d8e89ecb3da0489fe280afca677af71027fcdcc49905dba6734584d13498e,1.612102102,1.58,-0.03210210195,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-09,0xb1ddb7dd24add001b178f46d478d14f679b80eb6388174285a11c42865a65939,40.794602791,39.722042287,-1.072560504,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0xf0eac8120b79eeceda503d0112ed33423527e284ac9fc63788c93fd78c5a32b1,2.491603411,2.355399416,-0.1362039945,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-12,0x92a6386d250143408c60fdae6638b1a300ef6e027a2a50aa753f9afba4741142,8.22,7.820744334,-0.399255666,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-13,0x567a70936f8a5074bf76c681396d4017b1a7e004515e4da7a1c5243782a90ce4,350.498929309,323.545259022,-26.953670287,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0xfebfa3d02c9a57c3a44ca879a7196e49f65d7e84b1004a1a9b53ab1d9c8149be,3.1094313,3,-0.1094313005,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0xc0c4ed188349712183ffccb54593171ecc52ec5d5858a770397197ea4935890f,20,18.548673711,-1.451326289,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45
2022-06-13,0x252973ebc6d222a69a7ebc69ca82bd97381f5fad02f415c82c6c0847e509e0a0,10.620028383,10,-0.6200283831,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0x4c4c7059ee8a5b8334cbe0fdab35d7b9869f95b8cd5ebf567cf4194afb0bfa01,106.212329982,100,-6.212329982,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-07,0xfef150939b106e528d70da1d59fad14e7f5a751ac59c02d03dc4d4b06283bf0f,6.124725306,5.995523984,-0.1292013222,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x56e5dd02bb3b47f463d1d0162ab84370b3d927b3ddb92eae0369c0c3c99298a5,2.146194846,2.066151318,-0.08004352766,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x93dbee4be5726c468981eeb5172fe1cec1b6d6d535d7833c652f2cc14653c883,0.002705997679,0.002587423384,-0.0001185742949,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-11,0x7f28607159129aead87cef873237dc8542f0df7ddcbffc367c6b52cad60618a6,0.0103635811,0.009843221045,-0.000520360055,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-12,0x07e0a473a78f50e539f21d855530dc0bce7a044ebc90073ccbd1e0d43414614b,99.271776814,95.622914867,-3.648861947,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-08,0xdef418ac6b6389937413c88d595c6f7b125ba9053bc91c8a2f3e9afb55c166d0,1.025753874,1,-0.02575387391,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0xfa65a2165ef281c2fc713c264c6aa767a5606a3dd9b1b305feab78f1b23fd7b0,5.197566641,5,-0.1975666408,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-13,0xba3f71df12c7c4395626c4fa73d6a10814af090209818de37e1de0ca14d4e1b7,146.194168869,137.69040564,-8.503763229,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-12,0x5076fe63f9d85e92c5bd9931be9c024d9795a11bdaa6c5b03fcb99a4a3ac64c5,46.735113602,45,-1.735113602,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0xf22d90faad3083f96ab24f8f3bee5bb3723ba8d80c841c5823a98c5b31ed0c36,1.008729479,0.960255991,-0.04847348796,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-06-09,0xa89ff9eb4e4cb97a8c6c2e13fb9253cf92726e4d1153ac3411bfb669a3841c12,5.13443078,5,-0.1344307805,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-10,0xfd270672cc2b6099c7feb9202fd46fdb2293ce11349bc52aed34ec94272b0781,5.288997182,5,-0.2889971817,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-06-11,0x9db3022586d4f0eae83874e0229e92bf91bec6fdc333e15e9511c9608f835c1c,1.353953944,1.294573062,-0.05938088232,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2021-11-21,0x7ba8db66edf9f3a2892e5f252bf4835e4f3c515869754b3bfc9d6e534f1c1144,1.1,1.044670643,-0.05532935709,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
2022-05-24,0x6f06dbd0fb7adae9156d678731a95cc62313d333b88bcbe885c2eeaed59ed13a,2.724862996,2.646587164,-0.07827583165,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-05-30,0x1adbf45d248e7a3d9cb8323908e2730410cad704fb08c1020b9d05432754f404,0.7645818185,0.75,-0.01458181851,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-05-03,0x4f43b2b2c6490da9c0ecb458e1ddbccdef773409e670ef39740eac22aa4eeb10,0.009998344082,0.01,0.000001655917505,0,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2022-03-10,0x975012da671f87ade5e77a9c419a34957c34cba2c85888e4859d32c8c8bc1e84,0.03007812,0.02992876034,-0.0001493596619,1,1,stETH,wETH,stETH-WETH LP,uniswap-v2,null
2022-02-06,0x56c844e8472bd3e4c663d2d1a134ef575b921ccaf4e28e66c8e72d029e6e618a,30.010172746,30,-0.01017274628,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
2021-09-16,0xc50f54a86d43a72a8e2c25e76302baec111f1b832b33655912aeee7bc8b90821,11.655549079,11.549378092,-0.1061709875,1,1,stETH,wETH,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,curve,null
